mcdonalds.com #全球
mcdonalds.us #美国
mcdonalds.co.uk #英国
mcdonalds.ca #加拿大
mcdonalds.com.au #澳大利亚
mcdonalds.fr #法国
mcdonalds.de #德国
mcdonalds.it #意大利
mcdonalds.es #西班牙
mcdonalds.jp #日本
mcdonalds.cn #中国
mcdonalds.in #印度
mcdonalds.com.mx #墨西哥
mcdonalds.com.br #巴西
mcdonalds.ru #俄罗斯
mcdonalds.co.za #南非
mcdonalds.ae #阿联酋
mcdonalds.sg #新加坡
mcdonalds.kr #韩国
mcdonalds.com.tr #土耳其
